srun: job 46118 queued and waiting for resources
srun: job 46118 has been allocated resources
=====================================================================
 SLURM_JOB_ID        = 46118
 SLURM_NODE          = gpic09
 SLURM_JOB_PARTITION = gpi.compute
 You can monitor your Job here: 
 https://dash.tsc.upc.edu:3000/d/ediwvcrdqru9sf/slurm-job-details?orgId=1&var-partition=gpi&var-user=joan.manel.cardenas&var-slurmjobid_id=46118&from=now-24h&to=now
=====================================================================
Number of samples in the test set: 1723
Test Loss: 1.0881180128565542, Test MAE: 2.2626311889106856
Real Age: 49.0099983215332, Predicted Age: 51.35
Real Age: 51.41999816894531, Predicted Age: 51.77
Real Age: 64.63999938964844, Predicted Age: 61.55
Real Age: 70.33999633789062, Predicted Age: 69.62
Real Age: 70.95999908447266, Predicted Age: 68.21
Real Age: 68.81999969482422, Predicted Age: 66.29
Real Age: 62.88999938964844, Predicted Age: 62.19
Real Age: 73.76000213623047, Predicted Age: 73.84
Real Age: 60.2599983215332, Predicted Age: 62.68
Real Age: 74.94000244140625, Predicted Age: 72.39
Real Age: 62.84000015258789, Predicted Age: 66.76
Real Age: 76.95999908447266, Predicted Age: 73.24
Real Age: 68.12000274658203, Predicted Age: 68.46
Real Age: 60.97999954223633, Predicted Age: 64.13
Real Age: 60.33000183105469, Predicted Age: 58.99
Real Age: 56.41999816894531, Predicted Age: 53.41
Real Age: 61.9900016784668, Predicted Age: 53.24
Real Age: 63.93000030517578, Predicted Age: 62.96
Real Age: 60.90999984741211, Predicted Age: 60.64
Real Age: 65.30000305175781, Predicted Age: 64.92
Real Age: 78.79000091552734, Predicted Age: 73.7
Real Age: 55.380001068115234, Predicted Age: 53.47
Real Age: 70.13999938964844, Predicted Age: 70.59
Real Age: 79.26000213623047, Predicted Age: 73.4
Real Age: 58.619998931884766, Predicted Age: 63.24
Real Age: 68.29000091552734, Predicted Age: 68.34
Real Age: 69.58999633789062, Predicted Age: 70.83
Real Age: 50.52000045776367, Predicted Age: 53.05
Real Age: 71.52999877929688, Predicted Age: 72.58
Real Age: 56.310001373291016, Predicted Age: 57.27
Real Age: 72.81999969482422, Predicted Age: 69.36
Real Age: 65.30000305175781, Predicted Age: 67.05
Real Age: 70.05000305175781, Predicted Age: 72.56
Real Age: 64.83000183105469, Predicted Age: 65.08
Real Age: 64.94000244140625, Predicted Age: 66.13
Real Age: 66.55000305175781, Predicted Age: 65.85
Real Age: 66.70999908447266, Predicted Age: 70.41
Real Age: 58.779998779296875, Predicted Age: 55.12
Real Age: 67.16999816894531, Predicted Age: 63.36
Real Age: 63.02000045776367, Predicted Age: 65.75
Real Age: 51.06999969482422, Predicted Age: 52.35
Real Age: 58.529998779296875, Predicted Age: 59.81
Real Age: 52.7599983215332, Predicted Age: 53.54
Real Age: 55.43000030517578, Predicted Age: 56.38
Real Age: 72.0, Predicted Age: 66.91
Real Age: 61.59000015258789, Predicted Age: 59.4
Real Age: 64.23999786376953, Predicted Age: 66.42
Real Age: 49.34000015258789, Predicted Age: 51.84
Real Age: 51.52000045776367, Predicted Age: 51.69
Real Age: 71.94000244140625, Predicted Age: 72.11
Real Age: 54.060001373291016, Predicted Age: 57.2
Real Age: 60.15999984741211, Predicted Age: 56.63
Real Age: 66.41999816894531, Predicted Age: 70.63
Real Age: 70.93000030517578, Predicted Age: 71.55
Real Age: 65.02999877929688, Predicted Age: 60.53
Real Age: 66.52999877929688, Predicted Age: 63.87
Real Age: 59.08000183105469, Predicted Age: 62.1
Real Age: 49.43000030517578, Predicted Age: 52.19
Real Age: 71.19000244140625, Predicted Age: 71.71
Real Age: 58.310001373291016, Predicted Age: 57.53
Real Age: 66.79000091552734, Predicted Age: 67.55
Real Age: 70.23999786376953, Predicted Age: 72.68
Real Age: 74.0999984741211, Predicted Age: 73.5
Real Age: 53.75, Predicted Age: 54.5
Real Age: 60.459999084472656, Predicted Age: 58.77
Real Age: 60.68000030517578, Predicted Age: 65.19
Real Age: 60.84000015258789, Predicted Age: 59.85
Real Age: 58.0099983215332, Predicted Age: 57.94
Real Age: 67.37000274658203, Predicted Age: 68.05
Real Age: 68.13999938964844, Predicted Age: 66.13
Real Age: 67.63999938964844, Predicted Age: 68.68
Real Age: 64.72000122070312, Predicted Age: 65.09
Real Age: 57.45000076293945, Predicted Age: 52.28
Real Age: 69.58000183105469, Predicted Age: 69.41
Real Age: 56.22999954223633, Predicted Age: 55.19
Real Age: 63.09000015258789, Predicted Age: 59.34
Real Age: 68.30999755859375, Predicted Age: 63.35
Real Age: 48.06999969482422, Predicted Age: 55.52
Real Age: 59.65999984741211, Predicted Age: 64.86
Real Age: 47.9900016784668, Predicted Age: 52.81
Real Age: 60.61000061035156, Predicted Age: 65.92
Real Age: 55.5099983215332, Predicted Age: 56.04
Real Age: 58.849998474121094, Predicted Age: 60.78
Real Age: 69.0199966430664, Predicted Age: 70.3
Real Age: 62.97999954223633, Predicted Age: 66.85
Real Age: 68.08999633789062, Predicted Age: 69.19
Real Age: 70.30000305175781, Predicted Age: 70.64
Real Age: 78.87000274658203, Predicted Age: 72.77
Real Age: 73.81999969482422, Predicted Age: 70.35
Real Age: 76.23999786376953, Predicted Age: 73.49
Real Age: 71.33000183105469, Predicted Age: 71.07
Real Age: 73.41000366210938, Predicted Age: 68.11
Real Age: 63.75, Predicted Age: 68.14
Real Age: 57.209999084472656, Predicted Age: 60.37
Real Age: 65.19999694824219, Predicted Age: 68.61
Real Age: 65.73999786376953, Predicted Age: 66.62
Real Age: 66.04000091552734, Predicted Age: 68.44
Real Age: 60.4900016784668, Predicted Age: 59.2
Real Age: 64.36000061035156, Predicted Age: 66.26
Real Age: 69.80999755859375, Predicted Age: 68.19
Real Age: 70.20999908447266, Predicted Age: 67.69
Real Age: 67.7300033569336, Predicted Age: 69.55
Real Age: 53.54999923706055, Predicted Age: 53.85
Real Age: 60.029998779296875, Predicted Age: 54.79
Real Age: 59.150001525878906, Predicted Age: 65.57
Real Age: 60.93000030517578, Predicted Age: 59.1
Real Age: 59.66999816894531, Predicted Age: 62.51
Real Age: 67.73999786376953, Predicted Age: 71.28
Real Age: 54.900001525878906, Predicted Age: 53.01
Real Age: 65.62999725341797, Predicted Age: 71.15
Real Age: 63.650001525878906, Predicted Age: 63.39
Real Age: 61.47999954223633, Predicted Age: 70.33
Real Age: 53.400001525878906, Predicted Age: 52.48
Real Age: 71.06999969482422, Predicted Age: 70.68
Real Age: 51.63999938964844, Predicted Age: 53.43
Real Age: 65.79000091552734, Predicted Age: 69.36
Real Age: 74.7300033569336, Predicted Age: 72.99
Real Age: 54.29999923706055, Predicted Age: 54.86
Real Age: 67.0, Predicted Age: 63.66
Real Age: 66.4800033569336, Predicted Age: 69.0
Real Age: 67.91000366210938, Predicted Age: 68.11
Real Age: 50.400001525878906, Predicted Age: 52.11
Real Age: 56.02000045776367, Predicted Age: 56.14
Real Age: 69.88999938964844, Predicted Age: 69.28
Real Age: 65.61000061035156, Predicted Age: 65.73
Real Age: 66.9000015258789, Predicted Age: 70.82
Real Age: 63.279998779296875, Predicted Age: 60.07
Real Age: 62.83000183105469, Predicted Age: 64.26
Real Age: 50.97999954223633, Predicted Age: 52.58
Real Age: 59.16999816894531, Predicted Age: 56.25
Real Age: 60.59000015258789, Predicted Age: 61.18
Real Age: 60.5099983215332, Predicted Age: 59.52
Real Age: 71.80000305175781, Predicted Age: 70.19
Real Age: 65.30000305175781, Predicted Age: 61.91
Real Age: 74.72000122070312, Predicted Age: 71.06
Real Age: 61.029998779296875, Predicted Age: 60.49
Real Age: 67.5199966430664, Predicted Age: 69.22
Real Age: 56.810001373291016, Predicted Age: 54.93
Real Age: 73.94000244140625, Predicted Age: 72.33
Real Age: 67.33000183105469, Predicted Age: 70.7
Real Age: 69.0999984741211, Predicted Age: 64.26
Real Age: 75.36000061035156, Predicted Age: 72.2
Real Age: 55.029998779296875, Predicted Age: 55.34
Real Age: 61.31999969482422, Predicted Age: 60.17
Real Age: 64.2699966430664, Predicted Age: 64.56
Real Age: 59.400001525878906, Predicted Age: 55.66
Real Age: 53.900001525878906, Predicted Age: 59.41
Real Age: 65.88999938964844, Predicted Age: 64.14
Real Age: 65.87000274658203, Predicted Age: 64.75
Real Age: 59.13999938964844, Predicted Age: 58.74
Real Age: 62.15999984741211, Predicted Age: 58.08
Real Age: 53.08000183105469, Predicted Age: 52.38
Real Age: 49.720001220703125, Predicted Age: 52.3
Real Age: 67.08000183105469, Predicted Age: 70.91
Real Age: 71.4000015258789, Predicted Age: 71.25
Real Age: 65.61000061035156, Predicted Age: 63.96
Real Age: 67.08000183105469, Predicted Age: 68.61
Real Age: 63.11000061035156, Predicted Age: 64.92
Real Age: 57.540000915527344, Predicted Age: 56.13
Real Age: 65.6500015258789, Predicted Age: 65.73
Real Age: 58.529998779296875, Predicted Age: 59.41
Real Age: 63.27000045776367, Predicted Age: 64.25
Real Age: 71.6500015258789, Predicted Age: 71.2
Real Age: 63.029998779296875, Predicted Age: 64.07
Real Age: 68.3499984741211, Predicted Age: 72.11
Real Age: 77.41000366210938, Predicted Age: 73.59
Real Age: 73.41000366210938, Predicted Age: 71.41
Real Age: 65.69999694824219, Predicted Age: 68.52
Real Age: 61.0, Predicted Age: 63.79
Real Age: 61.58000183105469, Predicted Age: 62.38
Real Age: 54.7599983215332, Predicted Age: 53.25
Real Age: 54.90999984741211, Predicted Age: 53.18
Real Age: 64.04000091552734, Predicted Age: 63.53
Real Age: 56.93000030517578, Predicted Age: 56.33
Real Age: 73.06999969482422, Predicted Age: 70.82
Real Age: 64.63999938964844, Predicted Age: 61.58
Real Age: 61.58000183105469, Predicted Age: 61.72
Real Age: 66.55000305175781, Predicted Age: 69.84
Real Age: 66.4000015258789, Predicted Age: 70.04
Real Age: 69.5999984741211, Predicted Age: 70.9
Real Age: 56.560001373291016, Predicted Age: 54.85
Real Age: 51.130001068115234, Predicted Age: 51.97
Real Age: 70.37000274658203, Predicted Age: 73.16
Real Age: 63.650001525878906, Predicted Age: 68.18
Real Age: 71.22000122070312, Predicted Age: 69.6
Real Age: 54.33000183105469, Predicted Age: 52.27
Real Age: 62.16999816894531, Predicted Age: 58.57
Real Age: 60.849998474121094, Predicted Age: 64.25
Real Age: 55.02000045776367, Predicted Age: 55.66
Real Age: 55.779998779296875, Predicted Age: 52.55
Real Age: 77.19000244140625, Predicted Age: 71.31
Real Age: 66.75, Predicted Age: 65.61
Real Age: 52.040000915527344, Predicted Age: 55.24
Real Age: 69.8499984741211, Predicted Age: 68.11
Real Age: 73.88999938964844, Predicted Age: 73.2
Real Age: 80.38999938964844, Predicted Age: 70.76
Real Age: 50.41999816894531, Predicted Age: 53.76
Real Age: 63.40999984741211, Predicted Age: 67.23
Real Age: 58.130001068115234, Predicted Age: 60.79
Real Age: 55.33000183105469, Predicted Age: 56.86
Real Age: 55.540000915527344, Predicted Age: 59.07
Real Age: 49.40999984741211, Predicted Age: 51.46
Real Age: 64.33000183105469, Predicted Age: 68.41
Real Age: 53.959999084472656, Predicted Age: 52.58
Real Age: 50.70000076293945, Predicted Age: 53.51
Real Age: 66.66000366210938, Predicted Age: 69.97
Real Age: 58.66999816894531, Predicted Age: 61.83
Real Age: 59.689998626708984, Predicted Age: 62.88
Real Age: 64.97000122070312, Predicted Age: 65.92
Real Age: 56.56999969482422, Predicted Age: 59.25
Real Age: 66.0199966430664, Predicted Age: 60.01
Real Age: 65.73999786376953, Predicted Age: 62.34
Real Age: 61.81999969482422, Predicted Age: 66.52
Real Age: 72.23999786376953, Predicted Age: 69.68
Real Age: 57.970001220703125, Predicted Age: 57.8
Real Age: 55.11000061035156, Predicted Age: 54.81
Real Age: 50.18000030517578, Predicted Age: 51.79
Real Age: 62.02000045776367, Predicted Age: 64.03
Real Age: 52.470001220703125, Predicted Age: 51.51
Real Age: 65.9000015258789, Predicted Age: 65.63
Real Age: 68.56999969482422, Predicted Age: 70.46
Real Age: 61.33000183105469, Predicted Age: 61.68
Real Age: 56.93000030517578, Predicted Age: 57.29
Real Age: 70.97000122070312, Predicted Age: 70.86
Real Age: 55.720001220703125, Predicted Age: 52.96
Real Age: 74.80000305175781, Predicted Age: 73.92
Real Age: 58.9900016784668, Predicted Age: 57.8
Real Age: 67.4000015258789, Predicted Age: 67.12
Real Age: 53.189998626708984, Predicted Age: 53.93
Real Age: 68.37000274658203, Predicted Age: 68.37
Real Age: 69.0999984741211, Predicted Age: 72.46
Real Age: 46.93000030517578, Predicted Age: 51.66
Real Age: 58.38999938964844, Predicted Age: 58.07
Real Age: 61.15999984741211, Predicted Age: 61.75
Real Age: 58.310001373291016, Predicted Age: 59.04
Real Age: 67.30000305175781, Predicted Age: 69.84
Real Age: 68.66999816894531, Predicted Age: 72.16
Real Age: 70.77999877929688, Predicted Age: 69.09
Real Age: 72.36000061035156, Predicted Age: 67.39
Real Age: 50.29999923706055, Predicted Age: 54.58
Real Age: 56.22999954223633, Predicted Age: 55.95
Real Age: 66.66000366210938, Predicted Age: 61.33
Real Age: 50.029998779296875, Predicted Age: 51.94
Real Age: 53.220001220703125, Predicted Age: 53.56
Real Age: 60.349998474121094, Predicted Age: 58.43
Real Age: 50.650001525878906, Predicted Age: 51.53
Real Age: 60.779998779296875, Predicted Age: 55.86
Real Age: 66.7699966430664, Predicted Age: 63.49
Real Age: 70.48999786376953, Predicted Age: 72.35
Real Age: 72.58000183105469, Predicted Age: 70.06
Real Age: 59.36000061035156, Predicted Age: 60.93
Real Age: 66.04000091552734, Predicted Age: 63.25
Real Age: 68.12000274658203, Predicted Age: 69.07
Real Age: 52.380001068115234, Predicted Age: 57.85
Real Age: 70.5, Predicted Age: 69.62
Real Age: 62.15999984741211, Predicted Age: 65.61
Real Age: 63.650001525878906, Predicted Age: 66.55
Real Age: 62.84000015258789, Predicted Age: 59.49
Real Age: 54.529998779296875, Predicted Age: 52.49
Real Age: 69.25, Predicted Age: 70.79
Real Age: 51.11000061035156, Predicted Age: 52.2
Real Age: 69.7300033569336, Predicted Age: 69.86
Real Age: 71.87999725341797, Predicted Age: 72.82
Real Age: 67.36000061035156, Predicted Age: 71.76
Real Age: 48.279998779296875, Predicted Age: 51.56
Real Age: 62.0, Predicted Age: 60.56
Real Age: 64.58999633789062, Predicted Age: 67.79
Real Age: 57.560001373291016, Predicted Age: 58.13
Real Age: 64.48999786376953, Predicted Age: 61.5
Real Age: 53.029998779296875, Predicted Age: 51.98
Real Age: 65.31999969482422, Predicted Age: 66.66
Real Age: 59.2599983215332, Predicted Age: 59.66
Real Age: 62.439998626708984, Predicted Age: 64.97
Real Age: 60.43000030517578, Predicted Age: 61.53
Real Age: 67.66999816894531, Predicted Age: 70.47
Real Age: 68.70999908447266, Predicted Age: 68.5
Real Age: 70.80999755859375, Predicted Age: 69.41
Real Age: 66.76000213623047, Predicted Age: 70.11
Real Age: 75.93000030517578, Predicted Age: 72.58
Real Age: 59.88999938964844, Predicted Age: 62.81
Real Age: 61.75, Predicted Age: 61.05
Real Age: 63.95000076293945, Predicted Age: 69.26
Real Age: 53.869998931884766, Predicted Age: 52.15
Real Age: 60.97999954223633, Predicted Age: 55.1
Real Age: 52.619998931884766, Predicted Age: 52.99
Real Age: 58.939998626708984, Predicted Age: 55.2
Real Age: 66.0199966430664, Predicted Age: 70.31
Real Age: 76.41999816894531, Predicted Age: 73.49
Real Age: 69.04000091552734, Predicted Age: 70.03
Real Age: 64.44999694824219, Predicted Age: 68.28
Real Age: 69.36000061035156, Predicted Age: 68.81
Real Age: 61.709999084472656, Predicted Age: 62.5
Real Age: 66.41999816894531, Predicted Age: 70.26
Real Age: 51.5, Predicted Age: 53.95
Real Age: 68.13999938964844, Predicted Age: 66.89
Real Age: 63.13999938964844, Predicted Age: 58.97
Real Age: 48.779998779296875, Predicted Age: 51.31
Real Age: 49.58000183105469, Predicted Age: 51.66
Real Age: 70.47000122070312, Predicted Age: 70.9
Real Age: 51.20000076293945, Predicted Age: 53.51
Real Age: 52.470001220703125, Predicted Age: 52.79
Real Age: 79.19000244140625, Predicted Age: 73.53
Real Age: 65.04000091552734, Predicted Age: 67.62
Real Age: 74.1500015258789, Predicted Age: 72.37
Real Age: 66.02999877929688, Predicted Age: 66.21
Real Age: 63.09000015258789, Predicted Age: 59.61
Real Age: 72.98999786376953, Predicted Age: 69.97
Real Age: 48.779998779296875, Predicted Age: 51.61
Real Age: 59.66999816894531, Predicted Age: 60.2
Real Age: 53.54999923706055, Predicted Age: 52.79
Real Age: 59.40999984741211, Predicted Age: 58.97
Real Age: 58.130001068115234, Predicted Age: 58.29
Real Age: 54.20000076293945, Predicted Age: 54.54
Real Age: 62.59000015258789, Predicted Age: 67.34
Real Age: 69.08999633789062, Predicted Age: 67.63
Real Age: 52.220001220703125, Predicted Age: 51.69
Real Age: 74.81999969482422, Predicted Age: 70.63
Real Age: 66.13999938964844, Predicted Age: 65.24
Real Age: 75.36000061035156, Predicted Age: 71.23
Real Age: 62.349998474121094, Predicted Age: 57.66
Real Age: 52.880001068115234, Predicted Age: 52.21
Real Age: 71.41000366210938, Predicted Age: 73.19
Real Age: 59.11000061035156, Predicted Age: 57.37
Real Age: 64.44000244140625, Predicted Age: 66.89
Real Age: 61.61000061035156, Predicted Age: 61.41
Real Age: 63.97999954223633, Predicted Age: 65.79
Real Age: 53.5099983215332, Predicted Age: 53.94
Real Age: 60.150001525878906, Predicted Age: 62.56
Real Age: 60.4900016784668, Predicted Age: 59.89
Real Age: 63.95000076293945, Predicted Age: 64.63
Real Age: 50.5, Predicted Age: 51.31
Real Age: 61.72999954223633, Predicted Age: 64.63
Real Age: 57.0099983215332, Predicted Age: 62.22
Real Age: 68.63999938964844, Predicted Age: 69.94
Real Age: 69.76000213623047, Predicted Age: 72.68
Real Age: 74.19000244140625, Predicted Age: 73.21
Real Age: 61.97999954223633, Predicted Age: 61.71
Real Age: 58.0, Predicted Age: 54.58
Real Age: 50.97999954223633, Predicted Age: 52.55
Real Age: 59.0099983215332, Predicted Age: 61.15
Real Age: 61.97999954223633, Predicted Age: 66.85
Real Age: 67.7300033569336, Predicted Age: 73.61
Real Age: 60.70000076293945, Predicted Age: 62.31
Real Age: 55.47999954223633, Predicted Age: 60.48
Real Age: 60.31999969482422, Predicted Age: 62.03
Real Age: 59.189998626708984, Predicted Age: 61.78
Real Age: 52.650001525878906, Predicted Age: 53.33
Real Age: 62.83000183105469, Predicted Age: 65.65
Real Age: 72.4000015258789, Predicted Age: 69.14
Real Age: 62.31999969482422, Predicted Age: 68.94
Real Age: 61.060001373291016, Predicted Age: 63.75
Real Age: 56.310001373291016, Predicted Age: 57.8
Real Age: 67.55999755859375, Predicted Age: 63.74
Real Age: 53.470001220703125, Predicted Age: 54.42
Real Age: 56.25, Predicted Age: 53.52
Real Age: 53.83000183105469, Predicted Age: 54.16
Real Age: 67.98999786376953, Predicted Age: 67.49
Real Age: 71.23999786376953, Predicted Age: 71.45
Real Age: 72.44999694824219, Predicted Age: 72.47
Real Age: 55.7400016784668, Predicted Age: 53.33
Real Age: 67.20999908447266, Predicted Age: 67.49
Real Age: 56.7599983215332, Predicted Age: 53.03
Real Age: 47.52000045776367, Predicted Age: 51.43
Real Age: 73.18000030517578, Predicted Age: 73.52
Real Age: 61.08000183105469, Predicted Age: 61.73
Real Age: 66.8499984741211, Predicted Age: 71.59
Real Age: 60.79999923706055, Predicted Age: 59.82
Real Age: 62.790000915527344, Predicted Age: 63.69
Real Age: 65.29000091552734, Predicted Age: 64.35
Real Age: 50.400001525878906, Predicted Age: 52.13
Real Age: 60.900001525878906, Predicted Age: 59.51
Real Age: 58.560001373291016, Predicted Age: 55.47
Real Age: 68.7699966430664, Predicted Age: 65.15
Real Age: 69.3499984741211, Predicted Age: 67.76
Real Age: 55.97999954223633, Predicted Age: 60.08
Real Age: 66.43000030517578, Predicted Age: 65.2
Real Age: 59.720001220703125, Predicted Age: 59.65
Real Age: 68.12999725341797, Predicted Age: 69.9
Real Age: 69.33000183105469, Predicted Age: 69.17
Real Age: 69.43000030517578, Predicted Age: 65.54
Real Age: 50.209999084472656, Predicted Age: 51.84
Real Age: 53.720001220703125, Predicted Age: 53.4
Real Age: 61.529998779296875, Predicted Age: 64.29
Real Age: 76.2699966430664, Predicted Age: 72.76
Real Age: 67.56999969482422, Predicted Age: 69.74
Real Age: 47.0099983215332, Predicted Age: 51.51
Real Age: 53.79999923706055, Predicted Age: 56.47
Real Age: 58.45000076293945, Predicted Age: 57.79
Real Age: 65.91999816894531, Predicted Age: 62.89
Real Age: 66.55999755859375, Predicted Age: 66.58
Real Age: 70.12000274658203, Predicted Age: 70.94
Real Age: 61.310001373291016, Predicted Age: 63.76
Real Age: 62.470001220703125, Predicted Age: 61.2
Real Age: 69.81999969482422, Predicted Age: 66.74
Real Age: 69.41000366210938, Predicted Age: 66.76
Real Age: 50.33000183105469, Predicted Age: 51.29
Real Age: 67.4800033569336, Predicted Age: 67.84
Real Age: 71.43000030517578, Predicted Age: 68.15
Real Age: 68.91999816894531, Predicted Age: 70.35
Real Age: 64.58999633789062, Predicted Age: 61.03
Real Age: 68.4800033569336, Predicted Age: 68.41
Real Age: 59.529998779296875, Predicted Age: 65.86
Real Age: 49.540000915527344, Predicted Age: 52.11
Real Age: 56.279998779296875, Predicted Age: 58.32
Real Age: 62.52000045776367, Predicted Age: 64.08
Real Age: 67.76000213623047, Predicted Age: 70.56
Real Age: 58.630001068115234, Predicted Age: 62.64
Real Age: 55.2400016784668, Predicted Age: 52.73
Real Age: 56.5, Predicted Age: 53.4
Real Age: 56.09000015258789, Predicted Age: 53.49
Real Age: 65.9000015258789, Predicted Age: 69.15
Real Age: 57.90999984741211, Predicted Age: 59.03
Real Age: 68.43000030517578, Predicted Age: 73.16
Real Age: 58.91999816894531, Predicted Age: 61.35
Real Age: 72.2300033569336, Predicted Age: 71.05
Real Age: 62.81999969482422, Predicted Age: 59.44
Real Age: 56.04999923706055, Predicted Age: 55.99
Real Age: 74.48999786376953, Predicted Age: 70.54
Real Age: 65.45999908447266, Predicted Age: 63.94
Real Age: 67.0, Predicted Age: 67.12
Real Age: 73.16999816894531, Predicted Age: 72.89
Real Age: 52.4900016784668, Predicted Age: 52.27
Real Age: 56.38999938964844, Predicted Age: 64.26
Real Age: 65.61000061035156, Predicted Age: 67.3
Real Age: 67.76000213623047, Predicted Age: 71.41
Real Age: 76.63999938964844, Predicted Age: 73.58
Real Age: 55.20000076293945, Predicted Age: 60.06
Real Age: 64.04000091552734, Predicted Age: 65.96
Real Age: 73.01000213623047, Predicted Age: 71.69
Real Age: 53.31999969482422, Predicted Age: 54.58
Real Age: 70.0, Predicted Age: 64.43
Real Age: 59.939998626708984, Predicted Age: 61.74
Real Age: 67.23999786376953, Predicted Age: 68.32
Real Age: 54.7400016784668, Predicted Age: 58.42
Real Age: 63.2400016784668, Predicted Age: 67.39
Real Age: 68.79000091552734, Predicted Age: 71.7
Real Age: 65.0999984741211, Predicted Age: 61.0
Real Age: 67.61000061035156, Predicted Age: 66.98
Real Age: 71.80000305175781, Predicted Age: 71.75
Real Age: 50.939998626708984, Predicted Age: 53.14
